2a0f:1cc5:1217::/48,CA,CA-BC,Vancouver,V6T
2a0f:1cc5:1281::/56,JP,JP-13,Chiyoda City,102-0083
2a0f:1cc5:1286::/48,CN,CN-SH,Yangpu,200433
2a0f:1cc5:1288::/48,TW,TW-TAO,Taoyuan,321000
2a0f:1cc5:1297::/48,IL,IL-TA,Rosh HaAyin,4809139
2a0f:1cc5:12f0::/48,AQ,AQ,Zhongshan Station, 

2a14:67c3:770:8500::/56,HK,,Hong Kong (Chek Lap Kok), 
2a14:67c3:770:8700::/56,MO,,Macau (Taipa), 
2a14:67c3:770:4400::/56,GB,GB-ENG,London,E14 9SZ
2a14:67c3:770:4500::/56,DE,DE-HE,Frankfurt,D-60314
2a14:67c3:770:1400::/56,CA,CA-QC,Brossard,J4Y
2a14:67c3:770:1500::/56,CA,CA-QC,Westmont,H3Z
2a14:67c3:770:1300::/56,US,US-NY,Manhattan,10280
2a14:67c3:770:1a00::/56,US,US-NY,Crown Heights,11213
2a14:67c3:770:1b00::/56,US,US-NY,Crown Heights (Brooklyn),11213
2a14:67c3:770:1c00::/56,US,US-NY,Battery Park City,10280
2a14:67c3:770:1d00::/56,US,US-NY,Battery Park City (Manhattan),10280
2a14:67c3:770:1e00::/56,US,US-NY,Financial District,10005
2a14:67c3:770:1f00::/56,US,US-NY,Financial District (Manhattan),10005
2a14:67c3:770:600::/56,SG,,Changi,819642
2a14:67c3:770:1700::/56,CA,CA-BC,Vancouver,V6T
2a14:67c3:770:8100::/56,JP,JP-13,Chiyoda City,102-0083
2a14:67c3:770:8600::/56,CN,CN-SH,Yangpu,200433
2a14:67c3:770:8800::/56,TW,TW-TAO,Taoyuan,321000
2a14:67c3:770:9700::/56,IL,IL-TA,Rosh HaAyin,4809139
2a14:67c3:770:f000::/56,AQ,AQ,Zhongshan Station, 

2602:f92a:a448:5000::/52,HK,,Hong Kong (Chek Lap Kok), 
2602:f92a:a448:7000::/52,MO,,Macau (Taipa), 
2602:f92a:a444:4000::/52,GB,GB-ENG,London,E14 9SZ
2602:f92a:a444:5000::/52,DE,DE-HE,Frankfurt,D-60314
2602:f92a:a441:4000::/52,CA,CA-QC,Brossard,J4Y
2602:f92a:a441:5000::/52,CA,CA-QC,Westmont,H3Z
2602:f92a:a441:3000::/52,US,US-NY,Manhattan,10280
2602:f92a:a441:a000::/52,US,US-NY,Crown Heights,11213
2602:f92a:a441:b000::/52,US,US-NY,Crown Heights (Brooklyn),11213
2602:f92a:a441:c000::/52,US,US-NY,Battery Park City,10280
2602:f92a:a441:d000::/52,US,US-NY,Battery Park City (Manhattan),10280
2602:f92a:a441:e000::/52,US,US-NY,Financial District,10005
2602:f92a:a441:f000::/52,US,US-NY,Financial District (Manhattan),10005
2602:f92a:a446::/52,SG,,Changi,819642
2602:f92a:a441:7000::/52,CA,CA-BC,Vancouver,V6T
2602:f92a:a448:1000::/52,JP,JP-13,Chiyoda City,102-0083
2602:f92a:a448:6000::/52,CN,CN-SH,Yangpu,200433
2602:f92a:a448:8000::/52,TW,TW-TAO,Taoyuan,321000
2602:f92a:a449:7000::/52,IL,IL-TA,Rosh HaAyin,4809139
2602:f92a:a44f::/52,AQ,AQ,Zhongshan Station, 

23.158.20.128/30,CA,CA-QC,Brossard,J4Y
23.158.20.132/30,CA,CA-QC,Westmont,H3Z
23.158.20.136/30,HK,,Hong Kong (Chek Lap Kok), 
23.158.20.140/30,MO,,Macau (Taipa)
23.158.20.144/30,GB,GB-ENG,London,E14 9SZ
23.158.20.148/30,DE,DE-HE,Frankfurt,D-60314
23.158.20.152/30,US,US-NY,Battery Park City (Manhattan),10280
23.158.20.156/30,US,US-NY,Financial District (Manhattan),10005
23.158.20.160/30,US,US-NY,Crown Heights (Brooklyn),11213
23.158.20.164/30,US,US-CA,Mountain View,94043
23.158.20.168/30,US,US-WA,Seattle,98125
23.158.20.172/30,US,US-DC,Washington,20002
23.158.20.176/30,US,US-MA,Cambridge,02139
23.158.20.180/30,US,US-GA,Georgia,30332
23.158.20.184/30,SG,,Changi,819642
23.158.20.188/30,CA,CA-BC,Vancouver,V6T
23.158.20.192/30,JP,JP-13,Chiyoda City,102-0083
23.158.20.196/30,JP,JP-23,Nisshin,470-0193
23.158.20.200/30,CN,CN-SH,Yangpu,200433
23.158.20.208/30,TW,TW-TAO,Taoyuan,321000
23.158.20.212/30,IL,IL-TA,Rosh HaAyin,4809139
23.158.20.216/30,AQ,AQ,Zhongshan Station, 
23.158.20.220/30,NZ,NZ-AUK,Auckland,1050
23.158.20.224/30,AU,AU-NSW,Melbourne,3004
23.158.20.228/30,AU,AU-NSW,Melbourne,3004
